Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
12.699999809265137,0.15258479118347168,-0.017830409109592438,0.011141975410282612,0.808299720287323
12.710000038146973,0.1500205099582672,-0.01766020432114601,0.017037037760019302,0.8281075954437256
12.720000267028809,0.14620649814605713,-0.017378270626068115,0.028209878131747246,0.8544994592666626
12.729999542236328,0.14107555150985718,-0.016984611749649048,0.03938271850347519,0.8789499402046204
12.739999771118164,0.136199489235878,-0.01647922396659851,0.05055555701255798,0.8727599382400513
12.75,0.12999939918518066,-0.01592213101685047,0.05570987984538078,0.8414161205291748
12.760000228881836,0.12255550920963287,-0.01530470885336399,0.06175926327705383,0.7896453142166138
12.770000457763672,0.11298750340938568,-0.014575561508536339,0.07293210178613663,0.7174475193023682
12.779999732971191,0.10448155552148819,-0.013734688051044941,0.08410494029521942,0.6303938627243042
12.789999961853027,0.09446629136800766,-0.012843336910009384,0.0891358032822609,0.5667213797569275
12.800000190734863,0.0833854079246521,-0.011951985768973827,0.0891358032822609,0.5259799957275391
12.8100004196167,0.07213815301656723,-0.010998768731951714,0.09533950686454773,0.45696166157722473
12.819999694824219,0.06150571256875992,-0.009995998814702034,0.10027778148651123,0.34255945682525635
12.829999923706055,0.04935923591256142,-0.008993228897452354,0.10027778148651123,0.2558433711528778
12.84000015258789,0.03856866806745529,-0.0079276692122221,0.10657408088445663,0.22213609516620636
12.850000381469727,0.028546325862407684,-0.006813480984419584,0.11141975969076157,0.16138982772827148
12.859999656677246,0.01897594705224037,-0.005699291825294495,0.11141975969076157,0.0349452942609787
12.869999885559082,0.006824752781540155,-0.004648814909160137,0.10503087192773819,-0.08288953453302383
12.880000114440918,-0.004414244554936886,-0.0035820254124701023,0.10669753700494766,-0.1687052696943283
12.890000343322754,-0.0156497023999691,-0.0024678364861756563,0.11141975969076157,-0.2443075180053711
12.899999618530273,-0.025076111778616905,-0.0014182826271280646,0.10493827611207962,-0.3037876486778259
12.90999984741211,-0.03737363591790199,-0.0004804555210284889,0.09376543015241623,-0.3369040787220001
12.920000076293945,-0.048006076365709305,0.00041089567821472883,0.0891358032822609,-0.3692045509815216
12.930000305175781,-0.05863851308822632,0.0013022468192502856,0.0891358032822609,-0.45189714431762695
12.9399995803833,-0.0712629184126854,0.0021935980767011642,0.0891358032822609,-0.5338300466537476
12.949999809265137,-0.08109763264656067,0.003018775023519993,0.08250000327825546,-0.5586462616920471
12.960000038146973,-0.08700978755950928,0.003798707388341427,0.07799383252859116,-0.5586462616920471
12.970000267028809,-0.09479235112667084,0.004511849954724312,0.07129629701375961,-0.5952796936035156
12.979999542236328,-0.10342339426279068,0.005113265477120876,0.06012346222996712,-0.6563917398452759
12.989999771118164,-0.10874079912900925,0.005602954421192408,0.048950619995594025,-0.680532693862915
13,-0.11512026190757751,0.006048629991710186,0.04456790164113045,-0.6743427515029907
13.010000228881836,-0.12055331468582153,0.006494305562227964,0.04456790164113045,-0.6579393148422241
13.020000457763672,-0.12114335596561432,0.006871652789413929,0.03771604970097542,-0.6000910401344299
13.029999732971191,-0.12114334851503372,0.007137272972613573,0.026543211191892624,-0.5499802827835083
13.039999961853027,-0.12114334851503372,0.007360110990703106,0.022283950820565224,-0.519424319267273
13.050000190734863,-0.1216212809085846,0.007513696793466806,0.015339506790041924,-0.5585055947303772
13.0600004196167,-0.12374776601791382,0.0076251160353422165,0.011141975410282612,-0.633629560470581
13.069999694824219,-0.12693633139133453,0.007736535277217627,0.011141975410282612,-0.660218358039856
